step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
3360000,208.827,,39.486,2757.458,637.0601162591407,668.08984375,0.06263254113345522,100.3,1409.5070840950639,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3390000,219.252,,44.931,2780.471,637.0707784739848,668.08984375,0.062110224800580136,100.3,1409.472429636512,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3420000,205.268,,50.555,2803.549,637.0965789059691,668.08984375,0.061596548004315,100.3,1409.4383483908666,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3450000,222.724,,40.113,2829.903,637.204853379943,668.08984375,0.06102600641254008,100.3,1409.4004942999643,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3480000,229.834,,39.419,2853.051,637.2934849823322,668.08984375,0.06053003533568905,100.3,1409.3675877871024,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3510000,215.068,,46.587,2879.945,637.3901859571954,668.08984375,0.05997899159663866,100.3,1409.3310273328082,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3540000,227.997,,36.826,2903.101,637.3815913728725,668.484375,0.05949982632858632,100.3,1409.2992358457798,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3570000,212.831,,49.698,2926.194,637.3809603290833,668.484375,0.05902825637491386,100.3,1409.2679482899725,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3600000,241.169,,30.382,2952.364,637.5042677915812,668.484375,0.05850409836065574,100.3,1409.2331716401982,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3630000,230.075,,44.872,2975.336,637.5669608819045,668.484375,0.05804811928159946,100.3,1409.2029185022027,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3660000,226.437,,46.626,3001.762,637.6316184497816,668.484375,0.05754114880752436,100.3,1409.1692822052403,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3690000,222.988,,52.293,3024.93,637.62028515625,668.484375,0.057100000000000005,100.3,1409.1400130208333,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3720000,232.087,,39.71,3051.522,637.6461275602907,668.484375,0.05659068384539148,100.3,1409.106221093492,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
3750000,246.521,,32.449,3074.584,637.6297146605444,668.484375,0.056182354870449334,100.3,1409.0791294276812,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
