step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
890000,-1.0,,0.0,2427.973,1352.6950736053718,1420.984375,89.11442148760324,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.4541694223880768,0.17453260719776154,7.119265887922666e-08
900000,-1.0,,0.0,2455.573,1353.2163054023692,1420.984375,89.10465686274502,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3770948648452759,0.1761363297700882,1.7633446702802757e-07
910000,-1.0,,0.0,2483.222,1353.7077462121213,1420.984375,89.10666666666656,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.36333170533180237,0.17769666016101837,7.41182972774368e-08
920000,-1.0,,0.0,2512.851,1354.241373502994,1420.984375,89.10359281437114,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.355059415102005,0.1792854219675064,6.930613949407416e-08
930000,-1.0,,0.0,2538.439,1354.676395750988,1420.984375,89.09948616600776,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.30059120059013367,0.18078145384788513,6.795644225121578e-08
940000,-1.0,,0.0,2566.072,1355.1535257036749,1420.984375,89.08881939014843,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2541294991970062,0.18215367197990417,1.136467062679003e-07
950000,-1.0,,0.0,2593.805,1355.6039228723405,1420.984375,89.09268858800762,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.17553289234638214,0.18354582786560059,7.431557236259323e-08
960000,-1.0,,0.0,2623.468,1356.093528919694,1420.984375,89.09013384321212,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2242572158575058,0.18490318953990936,7.641457244744743e-08
970000,-1.0,,0.0,2649.072,1356.4930930397727,1420.984375,89.08704545454535,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.2764701545238495,0.18616211414337158,5.7022198518552614e-08
980000,-1.0,,0.0,2676.672,1356.93181339018,1420.984375,89.07721139430275,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.353931188583374,0.18729344010353088,5.801433289320812e-08
990000,-1.0,,0.0,2704.532,1357.361554154303,1420.984375,89.07114243323431,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.3531387150287628,0.18838578462600708,9.289631464071135e-08
